"risk.k"	"alpha.at.conception.k"	"sire.k"	"infant.ID.k"	"infant.name.k"	"infant.DOB.k"	"infant.DOC.k"	"infant.mother.k"	"infant.sex.k"	"infant.birthgroup.k"	"infant.DOD.k"	"infant.CauseOfDeath.k"	"infant.alive.k"	"infant.AgeAtDeath.k"	"takeover.date.k"	"infant.ageattakeover.k"	"infant.over1yr.k"
"80"	"AMR"	"BG"	"?"	444	"CO-10"	2010-08-06	2010-02-27	"Cho F"	"U"	"GUAN"	2010-08-24	"Unknown"	0	18	"11-05-12"	"279"	"N"
"81"	"AMR"	"MM"	"?"	447	"Bellatrix"	2011-03-22	2010-10-13	"Petunia F"	"F"	"GUAN"	2012-02-10	"Missing"	0	325	"11-05-12"	"51"	"N"
"82"	"AMR"	"MM"	"?"	514	"Amos Diggory"	2011-04-01	2010-10-23	"Minerva F"	"M"	"GUAN"	2012-02-03	"Missing"	0	308	"11-05-12"	"41"	"N"
"83"	"AMR"	"MM"	"MM"	515	"Colleen Creevey"	2011-04-07	2010-10-29	"LunaLovejoy F"	"F"	"GUAN"	2013-05-07	"Missing"	0	761	"11-05-12"	"35"	"N"
"84"	"AMR"	"MM"	"?"	521	"CO-11"	2011-05-05	2010-11-26	"Cho F"	"F"	"GUAN"	2011-09-27	"Missing"	0	145	"11-05-12"	"7"	"N"
"85"	"AMR"	"MM"	"?"	522	"LY-11"	2011-05-05	2010-11-26	"Lily F"	"M"	"GUAN"	2011-09-27	"Missing"	0	145	"11-05-12"	"7"	"N"
"86"	"AMR"	"MM"	"?"	518	"MW-11"	2011-06-08	2010-12-30	"MrsWeasley F"	"F"	"GUAN"	2011-08-27	"Infanticide"	0	80	"11-05-12"	"-27"	""
"87"	"AMR"	"MM"	"BG"	526	"Hippogriff"	2011-06-27	2011-01-18	"Fleur F"	"F"	"GUAN"	NA	""	-1	NA	"11-05-12"	"-46"	""
"88"	"AMR"	"MM"	"Malfoy"	636	"Nymphadora Tonks"	2011-07-02	2011-01-23	"RitaSkeeter F"	"F"	"GUAN"	NA	""	-1	NA	"11-05-12"	"-51"	""
"89"	"GS"	"Malfoy"	""	662	"Olivander"	2012-05-03	2011-11-25	"Lily F"	"M"	"GUAN"	NA	""	-1	NA	""	""	""
"90"	"GS"	"Malfoy"	""	663	"Hungarian Horntail"	2012-05-19	2011-12-11	"MrsWeasley F"	"F"	"GUAN"	NA	""	-1	NA	""	""	""
"91"	"GS"	"Malfoy"	""	699	"Molly"	2012-11-05	2012-05-29	"Petunia F"	"F"	"GUAN"	NA	""	-1	NA	""	""	""
"92"	"GS"	"Malfoy"	""	705	"Teddy"	2013-03-03	2012-09-24	"Padma F"	"M"	"GUAN"	NA	""	-1	NA	""	""	""
"93"	"GS"	"Malfoy"	""	706	"Ginny"	2013-03-07	2012-09-28	"Minerva F"	"F"	"GUAN"	NA	""	-1	NA	""	""	""
"94"	"GS"	"Malfoy"	""	707	"Greg"	2013-03-12	2012-10-03	"LunaLovejoy F"	"M"	"GUAN"	NA	""	-1	NA	""	""	""
"95"	"GS"	"Malfoy"	""	709	"Gabrielle"	2013-04-25	2012-11-16	"Fleur F"	"F"	"GUAN"	NA	""	-1	NA	""	""	""
"96"	"GS"	"Malfoy"	""	712	"RS-13"	2013-06-17	2013-01-08	"RitaSkeeter F"	"M"	"GUAN"	NA	""	-1	NA	""	""	""
"97"	"GS"	"Atlas"	""	290	"Caliban"	2006-11-01	2006-05-25	"Callisto F"	"M"	"EXCL"	2008-12-31	"Unknown"	0	791	"07-12-12"	"406"	"Y"
"98"	"GS"	"Atlas"	""	291	"Oedipus"	2006-08-01	2006-02-22	"Electra F"	"M"	"EXCL"	2012-03-27	"Missing"	0	2065	"07-12-12"	"498"	"Y"
"99"	"GS"	"Artemis"	""	393	"Dionysus"	2008-06-20	2008-01-12	"Helen F"	"M"	"EXCL"	2008-12-15	"Unknown"	0	178	"12-03-07"	"1356"	"Y"
"100"	"GS"	"Artemis"	""	400	"Gaia"	2008-07-10	2008-02-01	"Electra F"	"F"	"EXCL"	NA	""	-1	NA	"12-03-07"	"1336"	"Y"
"101"	"GS"	"Artemis"	""	401	"Neaera"	2008-07-15	2008-02-06	"Callisto F"	"F"	"EXCL"	2008-12-15	"Unknown"	0	153	"12-03-07"	"1331"	"Y"
